Year,Week,Crop Type,Avg Market Price (RM/KG),Month
2015,7,SAWI HIJAU (TANAH RENDAH),1.63,Feb
2015,7,TERUNG BULAT,2.83,Feb
2015,7,TERUNG PANJANG / PEPARU (TANAH RENDAH),3.37,Feb
2015,7,TIMUN HIJAU,0.95,Feb
2015,7,TOMATO (TANAH TINGGI),3.42,Feb
2015,8,BAYAM,1.63,Feb
2015,8,CILI HIJAU,5.21,Feb
2015,8,CILI MERAH KULAI / KULAI HIBRID,6.17,Feb
2015,8,CILI MERAH MINYAK,8.02,Feb
2015,8,CILI PADI,17.67,Feb
2015,8,DAUN SUP (TANAH TINGGI),4.05,Feb
2015,8,HALIA MUDA,5.45,Feb
2015,8,KACANG BENDI,3.79,Feb
2015,8,KACANG BUNCIS,4.29,Feb
2015,8,KACANG PANJANG HIJAU,2.41,Feb
2015,8,KAILAN,2.86,Feb
2015,8,KANGKUNG,1.28,Feb
2015,8,KUBIS BULAT (TANAH TINGGI),0.88,Feb
2015,8,LABU MANIS,1.18,Feb
2015,8,LADA BENGGALA / CAPSICUM HIJAU,5.78,Feb
2015,8,LIMAU KASTURI,2.55,Feb
2015,8,LIMAU NIPIS,4.09,Feb
2015,8,PERIA,2.23,Feb
2015,8,SALAD BULAT TANAH TINGGI,1.88,Feb
2015,8,SAWI HIJAU (TANAH RENDAH),1.78,Feb
2015,8,TERUNG BULAT,3.43,Feb
2015,8,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.9,Feb
2015,8,TIMUN HIJAU,1.06,Feb
2015,8,TOMATO (TANAH TINGGI),3.83,Feb
2015,9,BAYAM,1.64,Mar
2015,9,CILI HIJAU,5.17,Mar
2015,9,CILI MERAH KULAI / KULAI HIBRID,5.86,Mar
2015,9,CILI MERAH MINYAK,7.07,Mar
2015,9,CILI PADI,16.94,Mar
2015,9,DAUN SUP (TANAH TINGGI),3.94,Mar
2015,9,HALIA MUDA,5.47,Mar
2015,9,KACANG BENDI,3.61,Mar
2015,9,KACANG BUNCIS,4.18,Mar
2015,9,KACANG PANJANG HIJAU,2.46,Mar
2015,9,KAILAN,2.67,Mar
2015,9,KANGKUNG,1.41,Mar
2015,9,KUBIS BULAT (TANAH TINGGI),0.94,Mar
2015,9,LABU MANIS,1.19,Mar
2015,9,LADA BENGGALA / CAPSICUM HIJAU,6.09,Mar
2015,9,LIMAU KASTURI,3.52,Mar
2015,9,LIMAU NIPIS,4.09,Mar
2015,9,PERIA,2.89,Mar
2015,9,SALAD BULAT TANAH TINGGI,1.62,Mar
2015,9,SAWI HIJAU (TANAH RENDAH),1.77,Mar
2015,9,TERUNG BULAT,3.43,Mar
2015,9,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.96,Mar
2015,9,TIMUN HIJAU,0.98,Mar
2015,9,TOMATO (TANAH TINGGI),2.27,Mar
2015,10,BAYAM,1.41,Mar
2015,10,CILI HIJAU,5.01,Mar
2015,10,CILI MERAH KULAI / KULAI HIBRID,5.72,Mar
2015,10,CILI MERAH MINYAK,6.42,Mar
2015,10,CILI PADI,18.88,Mar
2015,10,DAUN SUP (TANAH TINGGI),4.86,Mar
2015,10,HALIA MUDA,5.79,Mar
2015,10,KACANG BENDI,3.42,Mar
2015,10,KACANG BUNCIS,3.96,Mar
2015,10,KACANG PANJANG HIJAU,2.39,Mar
2015,10,KAILAN,2.91,Mar
2015,10,KANGKUNG,1.26,Mar
2015,10,KUBIS BULAT (TANAH TINGGI),0.88,Mar
2015,10,LABU MANIS,1.3,Mar
2015,10,LADA BENGGALA / CAPSICUM HIJAU,5.73,Mar
2015,10,LIMAU KASTURI,3.07,Mar
2015,10,LIMAU NIPIS,3.93,Mar
2015,10,PERIA,2.35,Mar
2015,10,SALAD BULAT TANAH TINGGI,2.02,Mar
2015,10,SAWI HIJAU (TANAH RENDAH),1.58,Mar
2015,10,TERUNG BULAT,3.0,Mar
2015,10,TERUNG PANJANG / PEPARU (TANAH RENDAH),3.09,Mar
2015,10,TIMUN HIJAU,0.95,Mar
2015,10,TOMATO (TANAH TINGGI),2.67,Mar
2015,11,BAYAM,1.27,Mar
2015,11,CILI HIJAU,4.72,Mar
2015,11,CILI MERAH KULAI / KULAI HIBRID,5.36,Mar
2015,11,CILI MERAH MINYAK,5.91,Mar
2015,11,CILI PADI,17.56,Mar
2015,11,DAUN SUP (TANAH TINGGI),4.0,Mar
2015,11,HALIA MUDA,5.79,Mar
2015,11,KACANG BENDI,3.42,Mar
2015,11,KACANG BUNCIS,3.86,Mar
2015,11,KACANG PANJANG HIJAU,2.38,Mar
2015,11,KAILAN,2.54,Mar
2015,11,KANGKUNG,1.13,Mar
2015,11,KUBIS BULAT (TANAH TINGGI),0.85,Mar
2015,11,LABU MANIS,1.26,Mar
2015,11,LADA BENGGALA / CAPSICUM HIJAU,6.01,Mar
2015,11,LIMAU KASTURI,3.16,Mar
2015,11,LIMAU NIPIS,3.84,Mar
2015,11,PERIA,2.34,Mar
2015,11,SALAD BULAT TANAH TINGGI,2.63,Mar
2015,11,SAWI HIJAU (TANAH RENDAH),1.19,Mar
2015,11,TERUNG BULAT,2.88,Mar
2015,11,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.74,Mar
2015,11,TIMUN HIJAU,0.8,Mar
